id,name,description,unit_cost,product_fk,manufacturer_fk
1000,Super Leash,Super Leash is the best leash on the market.,14.99,100,1
1001,Retractable Leash,Expands up to 20' to allow you canine freedom to walk where they choose while still under your control. Easy locking mechanism.,22.84,100,1
1002,Leather Leash,Studded leather leash,7.94,100,
1003,Red leath leash,Our popular leather leash in red.,7.94,100,
1004,Dog leash supreme,Made of the same tough rope used by mountain climbers.,15.99,100,
1005,Soft Paws comfort harness,A great harness for small dogs. Comfortable and sturdy.,32.99,100,
1100,Dog Chow Chow,A healthy dog food from a name you trust.,44.59,101,
1101,Pet-o-Doodle Dog Food,Economical dog food for you best friend.,33.9,101,
1102,Dog Fastastic dog biscuits.,Our winning recipe will make your dog jump for joy!,23.88,101,
1103,Puppy Power,Formulated for your cute pup. 10lb bag.,27.98,101,
1104,Puppy Power Plus,Premium Puppy Power formulation with organic ingredients.,33.67,101,
1105,Zappos Dog Food,Made from USDA grade A meat products.,37.92,101,
1106,Zappos Dog Biscuits,Zappos premium dog biscuits. Awesome taste. Great for teeth.,11.93,101,
1107,Zappos Dog gone good Bison Jerky,Made from USDA grade A bison products. 16 oz can.,12.33,101,
1200,Crystal Dog Chew Toy,Industrable. Lifetime guarantee.,4.99,102,
1201,Acme Chew Bone,Simple. Fun. Tasty.,11.9,102,4
1202,Acme Soft Chew Bone,A softer version of our popular chew bone for older dogs.,11.9,102,4
1203,Puppy Power Clown Squeeze Toy,Makes a squeak with each bite. Fun all night long.,5.66,102,
1300,Old Mill Sweater (Puppy),Cute sweater. Puppy Size,14.56,103,
1301,Old Mill Sweater (Adult),Cute sweater. Adult Size,17.89,103,
1302,Hipster Hat for Dogs,Keep your canine cool while their head keeps warm.,34.77,103,
1303,Pooch Boots,Protection against snow and ice.,17.99,103,
1304,Reindeer Antlers,Classic holiday cheer for your little helper.,11.99,103,
1305,Reindeer Antlers (Large),Classic holiday cheer for your little helper.,12.89,103,
1400,Crunchy Munchies Organic Dry Cat Food (10lbs),The best from the brand you trust,19.9,110,2
1401,Crunchy Munchies Organic Dry Cat Food (20lbs),The best from the brand you trust,34.69,110,2
1402,Crunchy Munchies Organic Dry Cat Food (40lbs),The best from the brand you trust,59.99,110,2
1403,Fat Feline Food,Keep your kitty healthy and plump.,22.93,110,
1404,Kitty Komforts Vegetarian,Premium vegetarian diet for your cat.,79.33,110,
1500,Moist Munchies Organic Wet Cat Food (6 jars),The best from the brand you trust,6.99,111,2
1501,Moist Munchies Organic Wet Cat Food (10 jars),The best from the brand you trust,9.99,111,2
1502,Almost Fish,Vegetarian cat food made from soy. Great fish taste.,19.49,111,
1503,Meow Wow Cat Food,The best cat food on the market. You're cat will love our special formula.,17.23,111,
1504,Meow Wow Plus Cat Food,Meow Wow standard cat food plus 20 vitamins and minerals.,19.99,111,3
1505,Acme Cat Food 10 pack,Economical cat food.,15.89,111,4
1506,Acme Cat Food 40 pack,Economical cat food.,29.88,111,4
1507,Soft Paws Meat Pack Healthy Variety Cat Food,The only cat food made from 100% meat or meat by-products.,25.75,111,5
1600,Soft Paws Single Carpet Pole,Simple carpeted stratching pole.,13.39,112,5
1601,Tower of Scratch,Three level scratching post with secret kitty hide-out.,38.99,112,
1602,Tower of Scratch Ultimate,Five level scratch house. Comes with 3 toy centers for your cat. They will love it!,109.83,112,
1603,"Scatching box (12"" by 16"")",Cardboard scratch box,11.99,112,
1604,"Scatching box (8"" by 24"")",Cardboard scratch box,12.89,112,
1605,Acme Kitty Post,Carpeted post with flat perch.,18.74,112,4
1606,Scratch wall (2 feet by 4 feet),An outdoor tree inside. Made with real bark.,38.74,112,
1607,Cat Masion,Four levels and tree rooms of feline luxury.,78.35,112,
